leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at,leadership,Agriculture,Appropriations,Criminal Justice,Education,Energy,Environment,Health,Fisheries,Insurance,Judiciary,Labor,Marine,State and Local,Taxation,Transportation,Veterans
MEL000019,Seth A. Goodall,Seth,A.,Goodall,,,TRUE,me,upper,19,Democratic,b84b199f0f004f48af19d26de23e6bbe,http://www.maine.gov/legis/senate/images/goodall.jpg,13:39.1,49:11.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEL000050,Adam A. Goode,Adam,A.,Goode,,,TRUE,me,lower,15,Democratic,8581b2f6be9a46849773b36335a5ed0b,http://www.maine.gov/legis/house/photo125/gooda_.jpg,13:39.2,49:10.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MEL000144,Anne P. Graham,Anne,P.,Graham,,,TRUE,me,lower,109,Democratic,17e75e7e8bd849f9ba7fb75d99ea6ae7,http://www.maine.gov/legis/house/photo125/grahap.jpg,13:39.8,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000057,Stacey K. Guerin,Stacey,K.,Guerin,,,TRUE,me,lower,22,Republican,e3511ef616d34d6b91888ab2b0f23608,http://www.maine.gov/legis/house_gop/_images/guersk.jpg,13:39.4,49:10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000135,James M. Hamper,James,M.,Hamper,,,TRUE,me,lower,100,Republican,a7c78ac071d7410bb33a9b29a2d00274,http://www.maine.gov/legis/house/photo125/hampjm.jpg,13:39.8,49:11.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MEL000094,Stephen P. Hanley,Stephen,P.,Hanley,,,TRUE,me,lower,59,Independent,78a3af4a4c414e75a7d7c1edbee79613,http://www.maine.gov/legis/housedems/representatives/images/HanleyMugcolor.JPG,13:39.6,49:10.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000151,Denise Patricia Harlow,Denise,Patricia,Harlow,,,TRUE,me,lower,116,Democratic,5f6146b15539407e82f27e01c6b5bf86,http://www.maine.gov/legis/housedems/representatives/images/125highresphotos/webharlow.jpg,13:39.8,49:10.4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
MEL000080,R. Ryan Harmon,R. Ryan,,Harmon,,,TRUE,me,lower,45,Republican,bf61d81be7c844ec8c7dd5ccad17d78c,http://www.maine.gov/legis/house_gop/_images/harmrr.jpg,13:39.6,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000124,Lance Evans Harvell,Lance,Evans,Harvell,,,TRUE,me,lower,89,Republican,2b3ccff56e384420ba2a8b1e4080e242,http://www.maine.gov/legis/house/photo125/harvle.jpg,13:39.8,49:10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000152,Anne M. Haskell,Anne,M.,Haskell,,,TRUE,me,lower,117,Democratic,012d739431fb4535a3161e5f86122dea,http://www.maine.gov/legis/housedems/representatives/images/HaskellMugcolor.JPG,13:39.8,49:10.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000013,David R. Hastings,David,R.,Hastings,,,TRUE,me,upper,13,Republican,ddee18b1b5f745e2b23f0a4e0a3f92bd,http://www.maine.gov/legis/senate_gop/_images/hastings.jpg,13:38.9,49:11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000129,Teresea Hayes,Teresea,,Hayes,,,TRUE,me,lower,94,Democratic,,http://www.maine.gov/legis/house/photo125/hayetm.jpg,13:39.8,49:11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000078,Erin D. Herbig,Erin,D.,Herbig,,,TRUE,me,lower,43,Democratic,a9581cd92aad417f9476d525d8c41dd4,http://www.maine.gov/legis/housedems/representatives/images/125highresphotos/Herbig2010.jpg,13:39.6,49:10.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEL000001,Dawn Hill,Dawn,,Hill,,,TRUE,me,upper,1,Democratic,45b219d999a748d9967cbc7c6b54fd96,http://senatedems.maine.gov/hill/images/SenatorDawnHill-md.jpg,13:38.7,49:10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000153,Jon Hinck,Jon,,Hinck,,,TRUE,me,lower,118,Democratic,905464ad66f543a2bf48c30d8c05ecfd,http://www.maine.gov/legis/house/photo125/hincj_.jpg,13:39.8,49:10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000005,Barry J. Hobbins,Barry,J.,Hobbins,,,TRUE,me,upper,5,Democratic,bd10095c19154918bfea71bb053fee05,,13:38.7,49:10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000166,George Hogan,George,,Hogan,,,TRUE,me,lower,132,Democratic,c33c17bb3455459a9624a9eb45e80f99,http://www.maine.gov/legis/house/photo125/hogagw.jpg,13:39.9,49:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MEL000165,Robert B. Hunt,Robert,B.,Hunt,,,TRUE,me,lower,131,Democratic,f7542133b76d498cac79e8c9c8bee279,http://www.maine.gov/legis/housedems/representatives/images/huntmugcolor.JPG,13:39.9,48:45.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEL000142,Melissa Walsh Innes,Melissa,Walsh,Innes,,,TRUE,me,lower,107,Democratic,ec94ab2b18c143fa9592a8f9cc32a864,http://www.maine.gov/legis/house/photo125/innemw.jpg,13:39.8,49:11.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEL000035,Troy Dale Jackson,Troy,Dale,Jackson,,,TRUE,me,upper,35,Democratic,c05ae0b9b2f74a31a4ca0f37dcb41b5c,http://www.maine.gov/legis/house/history/122nd/photo122/jacktd.jpg,13:39.2,49:10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000062,Peter B. Johnson,Peter,B.,Johnson,,,TRUE,me,lower,27,Republican,68d043ac46c74676b25a6163a7a886ea,http://www.maine.gov/legis/house_gop/_images/johnpb.jpg,13:39.4,49:10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MEL000055,David D. Johnson,David,D.,Johnson,,,TRUE,me,lower,20,Republican,7afa57be991743ecb74e0cb3f15485e8,http://www.maine.gov/legis/house_gop/_images/johndd.jpg,13:39.3,49:11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEL000158,Bryan T Kaenrath,Bryan,T,Kaenrath,,,TRUE,me,lower,124,Democratic,636467ad679b47e7b3b2456b5e5dd574,http://www.maine.gov/legis/housedems/representatives/images/kaenrathmug2color.JPG,13:39.9,49:10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
